time,r1i1p1f1/2,r2i1p1f1/2,r3i1p1f1/2,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1,r10i1p1f1
1850.5,595.7097977148361,594.5844061877748,593.8010992831995,593.8463083789258,592.8658352261241,590.4144734439272,590.6451588050171,591.8509232601675,591.2476538747401,590.328301965314
1851.5,596.3819124634192,594.9323907592702,593.9531329855442,594.9166684832902,592.9458248038138,590.9016487780192,591.9418605677773,592.3120334724055,591.9154795275205,590.9476516274995
1852.5,596.977594496786,596.2444029919099,594.8503614889308,595.0687600989988,593.5403987681619,591.6991916491594,593.0508767404731,592.4496888294823,592.1670363439863,591.8062558247284
1853.5,598.4791392347823,596.6534299524252,595.5423198809726,595.9405191465335,594.108570250281,592.5691181094481,593.9902012457791,592.4958014939226,592.0737130658962,592.2157273554794
1854.5,599.3677568826248,597.2965266989617,596.1049594344734,596.8339477116316,595.0770391049555,593.2789405699776,595.431479413402,592.9098821469205,592.3729722586254,593.490243891187
1855.5,599.2435862215184,598.3899788053692,596.7049483985543,597.6813023881923,595.3957473687772,593.5263699070009,595.8001341462451,593.2894716843828,593.0850796919345,594.4146531001562
1856.5,599.1288437158013,599.1093127844694,597.1514349853944,598.0056568042223,595.8231688361009,593.7576898101919,595.7749719919284,594.803650453193,593.8961826065362,594.3629810533575
1857.5,599.4233667375889,599.6417045286051,597.8490334176804,598.1895743183677,597.0122811951704,594.1828826149617,596.1373011425953,595.4261455725358,594.2356947935411,594.695068907408
1858.5,600.0617679928132,600.0839220588689,599.0044157510292,598.0989193634566,598.0516595535063,594.7759372051712,596.5451208399219,595.8834524398168,595.1974295664112,595.3105679320623
1859.5,600.736822095111,600.1976473734586,599.8663920490651,598.6160042447736,598.3104319943849,595.4154956255186,597.3544049943439,596.5630439239312,595.2852134011731,596.6222107415649
1860.5,601.3486851023481,600.3011475726289,599.5952529006518,599.4675214694229,599.4188272516535,595.6723803712789,598.3757735990167,596.9464459241984,595.5337514083918,596.95302700651
1861.5,601.7905628675298,600.8384472238757,599.9044709876789,599.7702545622287,600.0661751196589,596.4117254215735,598.1199308930244,597.0407660536011,596.092073710977,596.3558356186177
1862.5,602.9602275582525,600.9522620136108,600.4305201162962,599.9095275858491,599.8617745103433,596.8325636022705,598.6281538272916,597.6519873046157,596.27873910403,596.2407587584098
1863.5,603.2904337289527,600.8245722639728,600.6512874631097,600.5214013140724,599.9940276927923,596.8822101842702,599.0771028342604,597.9812836944415,596.1859126985562,596.5578325227377
1864.5,602.992817953173,601.1695315134726,600.9820723666658,600.5942166483518,600.5099899766516,597.1854614914681,599.3599161345475,598.0545769642682,596.3979456479955,597.0040026901944
1865.5,602.820997819361,601.5648457316221,601.8687969087989,601.01897099485,600.7791552612738,597.0169290933202,598.6304176586875,598.4849006125419,597.080931476458,597.7272072458559
1866.5,603.1548383041442,601.9788580508583,602.2066894253376,601.3699167628168,601.0135853525837,597.4524283727683,598.3845592968106,598.5799514723318,597.1941479950916,598.0959173871596
1867.5,603.553431340502,602.2782324691387,602.1440093305476,601.8041757143527,601.2309310015054,598.2023424116056,598.3281974698792,598.822197763667,597.1390117672413,598.244957229094
1868.5,604.1816301246325,602.7903494258619,602.7247567297244,601.7006612873317,601.1906710936966,598.4485617801445,599.1177778546422,598.8927708087188,597.5015209703566,598.8415607662826
1869.5,604.7453263465366,602.9997658535221,603.3729515556295,601.9297094436324,601.579154841363,598.6694776176251,599.9709985137238,599.0126004724262,599.0613321635486,599.147483803328
1870.5,604.9952002687771,603.052524226779,603.7317058085193,602.4145527127628,601.6422692863831,599.2386585757696,601.2273894690402,599.124899194495,599.5105932814672,599.3393295367736
1871.5,606.143683397097,603.6202672702397,604.0581690525297,602.9889447715124,602.742491244614,599.8723539192839,601.2574585285065,599.3297812462226,599.4163182403238,599.5686117512375
1872.5,606.855422108642,604.5117573407811,604.1828597315587,603.2893212513042,603.395839057368,600.6154030201691,600.8216292030012,600.0534848788152,599.4204300891697,600.7041618634869
1873.5,607.1151883949492,604.9914845954352,604.4605844711097,603.8305221391287,603.0940260656382,601.0467198124984,600.9822969061964,600.9715783248292,599.9186341116562,601.1053810404524
1874.5,607.4866872951822,605.4787844733188,605.3787632842277,604.6943118869492,603.3218647544351,601.5546089934514,601.9331967699904,601.4865850381822,601.069464234161,601.5142279485194
1875.5,607.8749709511739,606.8722587659971,606.2630134828926,605.1197800306885,604.2056195834257,602.4184563540475,602.5139369550458,602.0857061033715,601.2392512882681,602.5276681334999
1876.5,608.3094959234388,607.6438081555171,606.4298321264068,604.9645511739052,604.7709114287245,602.4570470945011,603.1669681480241,602.5599419086446,601.2029493280473,602.9087433792007
1877.5,608.7765563831443,607.4884629710252,606.3913405801234,605.0916486642097,605.3144660238747,602.7672793667717,603.8795731553224,602.5883988123546,601.9149767046474,603.0747949211318
1878.5,609.588574188623,608.2611761386132,607.0577813219737,605.6274306446521,605.5571054848299,603.4296462341098,604.5862858285174,602.7644111523103,602.574730456875,603.3690899967202
1879.5,609.9462137595496,608.8101908217553,608.210097152717,605.8388354645429,605.5013109683954,603.6748011189472,604.5106770260907,603.4658398823126,602.4882934585132,603.9258773947663
1880.5,609.8545863009857,609.6837739398646,607.9434025043063,606.13716694129,606.0010740426884,603.8039651544649,604.909936867704,604.6116407601911,603.017780717188,604.4336527529139
1881.5,609.8688391005006,610.0918026463214,607.3989821143834,606.5678285511154,606.5894313380553,604.2460865966385,605.0179922836023,605.7432302195571,603.3851414169923,604.175425378991
1882.5,610.2721848401618,610.1880721916593,608.2116109158723,606.8427206458317,607.5947946126767,604.4647395044883,605.1162486180324,605.8838244293681,603.8344872006419,604.2393054226521
1883.5,611.0398576413528,610.7489728412975,609.4117525645129,607.7105736473743,608.4928998322141,605.2159238298813,605.5481069704527,606.0334514206332,604.1266525072583,604.82832160778
1884.5,610.9277290523153,610.6246167171516,609.4145857103283,607.5303957534462,608.1563852128764,605.0465189238198,605.2814873689446,605.7372788699321,603.8868797578225,605.0286297061031
1885.5,610.819395692348,610.2848003346913,609.3442981240553,607.4860273032638,607.657884910429,605.4928148374217,605.8362472982691,605.5352524079534,603.7454483091363,605.0217259922479
1886.5,611.0525213302215,610.7159186384841,609.8130837607536,607.6578047535238,607.7094789044412,605.9905715843769,606.0685608464966,605.4855935018296,603.8812268924735,605.4149195592734
1887.5,611.1380076676874,610.9738752824597,610.0189008427805,608.0208216504376,608.3985035537514,606.4907151033815,606.662703065714,605.5065151554674,604.4684982621668,606.0676532699372
1888.5,611.4614359708736,611.3546659711467,610.0342296485521,608.8245597485868,608.5745487580383,606.6161225855354,607.736258224321,606.0539683820957,604.2980267682851,606.2281460306868
1889.5,612.3474286804619,611.6918171365082,610.5302893736275,609.7250815986209,609.5773904968132,606.7981222455272,608.266439641795,606.941296305333,604.7836881388296,605.8074088476903
1890.5,612.5589278851085,613.0123649773973,611.2376166498932,610.466587378492,609.860771909166,607.213770467003,608.604257812804,607.8672743853299,605.4968889123261,605.8385987010842
1891.5,612.5787668193489,614.0704028613093,611.8430135999778,612.31067503608,609.8362704481407,608.0940272486494,608.7165730672347,608.287818390185,605.9048298469718,606.4827012163889
