,nonCO2_erf
1850,0.4239191818787186
1851,0.3517750397919375
1852,0.459944618671994
1853,-1.024278994755787
1854,-0.21445151200385992
1855,0.9298836778459332
1856,1.4460984403019383
1857,0.7220772916533926
1858,-0.020460572382820716
1859,-0.5083328365839911
1860,1.0399877557567847
1861,1.1991443697063915
1862,-1.112237526607858
1863,-0.09198827156570859
1864,0.89831984645594
1865,-0.01891230132236773
1866,0.3153918767358479
1867,0.7639749833688835
1868,0.17874837761214102
1869,-1.2276825967443992
1870,-0.5108998428669884
1871,-0.41034056175626715
1872,0.5969789917296876
1873,-0.7270592623290767
1874,-0.6322420822902546
1875,-0.6936954007304533
1876,0.32174766018534856
1877,2.119721724763221
1878,1.0452149264155497
1879,-2.035235740088018
1880,-1.035278258966516
1881,1.0341868305093884
1882,1.3814723802127487
1883,-2.066610324548993
1884,-1.9644808164171117
1885,-0.611676966652605
1886,-0.7258189279831635
1887,0.07474718678737881
1888,1.250859383659616
1889,0.16635264217350093
1890,-1.1383952561560955
1891,0.2845373638973426
1892,-1.6738114011216325
1893,-1.5483496556204441
1894,-0.3871870470782148
1895,0.8099693108670405
1896,-1.132037980121075
1897,-0.33681900528440206
1898,1.4960251219202947
1899,-2.1155472465763667
1900,-0.6325576515219185
1901,0.8882545906985088
1902,-0.41178362361159326
1903,-0.4775438264945554
1904,-0.6277371264066803
1905,-0.5746017847145699
1906,0.6982693965809021
1907,-0.962818889898126
1908,-0.30190806088139294
1909,0.22155135681121796
1910,0.08516487705451173
1911,0.4216254582305875
1912,-2.4826518974890175
1913,-0.9187120582720996
1914,0.3255811545336021
1915,-1.579142697492932
1916,-0.7044417039714688
1917,0.7360047174260076
1918,-1.794385225800013
1919,-0.37037038165854613
1920,0.7020762521566271
1921,1.3380793240404198
1922,-0.09578352019231368
1923,-0.5662611755375678
1924,0.1330562032689187
1925,-1.9510113947122738
1926,-0.6055730554191444
1927,1.7952880720112865
1928,0.6161454904974417
1929,-0.8405359831299384
1930,0.6408865749879478
1931,-0.06478226164936024
1932,-0.9137903915287953
1933,0.4142184952506485
1934,-0.4408026172354016
1935,0.48711451658529226
1936,0.6099970191776429
1937,-0.617856504606582
1938,0.011942969927477731
1939,-1.1414806512663795
1940,0.5353069992408248
1941,-0.21607979207532124
1942,-0.6444338490723084
1943,-1.4388650628358208
1944,-0.36768095274533674
1945,-0.6494634592723864
1946,1.0102901329636638
1947,0.6566669493914595
1948,-0.9718443846356967
1949,0.14511517870122848
